LndRvrSg,TN_EOT,TP_EOT,TSS_EOT
N24003WL0_4390_0000,0.94,0.98,1
N24003WL0_4391_0000,1,1,1
N24003WL0_4392_0000,1,1,1
N24003WL0_4393_0000,1,1,1
N24003WL0_4394_0000,1,1,1
N24003WL0_4420_0000,0.78,0.44,0.19
N24003WL0_4421_0000,0.95,1,1
N24003WL0_4422_0000,1,1,1
N24003WL0_4423_0000,1,1,1
N24003WL0_4424_0000,1,1,1
N24003WL0_4425_0000,1,1,1
N24003WL0_4600_0000,0.86,0.85,0.78
N24003WL0_4601_0000,1,1,1
N24003WL0_4602_0000,0.96,1,1
N24003WL0_4603_0000,1,1,1
N24003WL0_4770_0000,1,1,1
N24003WL0_4771_0000,0.81,0.82,0.78
N24003WL0_4772_0000,0.92,1,1
N24003WM0_3961_0000,0.92,0.82,0.36
N24003WM0_3962_0000,1,1,1
N24003WM0_3963_0000,1,1,1
N24003WM0_3966_0000,1,1,1
N24003WM3_4060_0001,0.66,0.35,0.18
N24003XL3_4710_0000,0.83,0.67,0.41
N24003XL3_4711_0000,0.84,0.72,0.49
N24003XL3_4712_0000,0.86,0.68,0.39
N24003XL3_4713_0000,0.78,0.69,0.45
N24003XL3_4950_0000,0.72,0.62,0.42
N24003XU2_4270_4650,0.76,0.81,0.22
N24003XU2_4480_4650,0.74,0.77,0.16
N24003XU3_4650_0001,0.8,0.57,0.16
